Training samples 50000
Device : cuda
Total number of trainable parameters : 24742081
image_size : 224
patch_size : 16
vision_width : 192
vision_layers : 12
vision_heads : 3
vision_layer_norm_eps : 1e-06
vocab_size : 49408
text_width : 256
text_layers : 8
text_heads : 4
max_length : 77
text_layer_norm_eps : 1e-06
shared_dim : 512
batch_size : 256
learning_rate : 0.0001
epochs : 10
loss_type : contrastive
Optimizer : AdamW
Batch : 0 / 196 | Time 4483 ms | Train Loss : 5.5464 | Grad Norm : 0.2511 | Learning rate : 5.10e-07
Batch : 25 / 196 | Time 272 ms | Train Loss : 4.9955 | Grad Norm : 19.4952 | Learning rate : 9.99e-05
Batch : 26 / 196 | Time 268 ms | Train Loss : 5.0800 | Grad Norm : 19.7254 | Learning rate : 9.99e-05
Batch : 27 / 196 | Time 266 ms | Train Loss : 5.0403 | Grad Norm : 11.1232 | Learning rate : 9.99e-05
Batch : 28 / 196 | Time 265 ms | Train Loss : 5.0196 | Grad Norm : 11.5219 | Learning rate : 9.99e-05
Batch : 29 / 196 | Time 268 ms | Train Loss : 5.0108 | Grad Norm : 13.3959 | Learning rate : 9.99e-05
Batch : 30 / 196 | Time 267 ms | Train Loss : 5.0235 | Grad Norm : 13.5308 | Learning rate : 9.99e-05
Batch : 31 / 196 | Time 264 ms | Train Loss : 4.9995 | Grad Norm : 5.7296 | Learning rate : 9.99e-05
Batch : 32 / 196 | Time 268 ms | Train Loss : 4.9226 | Grad Norm : 10.5927 | Learning rate : 9.99e-05
Batch : 33 / 196 | Time 265 ms | Train Loss : 5.0799 | Grad Norm : 25.1480 | Learning rate : 9.99e-05
Batch : 34 / 196 | Time 264 ms | Train Loss : 4.9880 | Grad Norm : 23.1127 | Learning rate : 9.99e-05
Batch : 35 / 196 | Time 272 ms | Train Loss : 5.0128 | Grad Norm : 8.1264 | Learning rate : 9.99e-05
Batch : 36 / 196 | Time 264 ms | Train Loss : 4.9587 | Grad Norm : 29.9434 | Learning rate : 9.99e-05
Batch : 37 / 196 | Time 268 ms | Train Loss : 5.2091 | Grad Norm : 35.7778 | Learning rate : 9.99e-05
Batch : 38 / 196 | Time 270 ms | Train Loss : 5.0875 | Grad Norm : 10.4794 | Learning rate : 9.99e-05
Batch : 39 / 196 | Time 269 ms | Train Loss : 4.9733 | Grad Norm : 12.9914 | Learning rate : 9.99e-05
Batch : 40 / 196 | Time 265 ms | Train Loss : 4.9409 | Grad Norm : 19.7891 | Learning rate : 9.99e-05
Batch : 41 / 196 | Time 266 ms | Train Loss : 5.0020 | Grad Norm : 7.8027 | Learning rate : 9.99e-05
Batch : 42 / 196 | Time 259 ms | Train Loss : 5.0981 | Grad Norm : 9.2265 | Learning rate : 9.99e-05
Batch : 43 / 196 | Time 271 ms | Train Loss : 4.9795 | Grad Norm : 14.4465 | Learning rate : 9.98e-05
Batch : 44 / 196 | Time 266 ms | Train Loss : 4.9123 | Grad Norm : 3.5313 | Learning rate : 9.98e-05
Batch : 45 / 196 | Time 270 ms | Train Loss : 5.0008 | Grad Norm : 12.1275 | Learning rate : 9.98e-05
Batch : 46 / 196 | Time 265 ms | Train Loss : 4.9212 | Grad Norm : 10.9544 | Learning rate : 9.98e-05
Batch : 47 / 196 | Time 268 ms | Train Loss : 5.0020 | Grad Norm : 13.8095 | Learning rate : 9.98e-05
Batch : 48 / 196 | Time 264 ms | Train Loss : 4.9838 | Grad Norm : 10.2923 | Learning rate : 9.98e-05
Batch : 49 / 196 | Time 267 ms | Train Loss : 4.9399 | Grad Norm : 14.4810 | Learning rate : 9.98e-05
Batch : 50 / 196 | Time 264 ms | Train Loss : 4.8819 | Grad Norm : 9.6236 | Learning rate : 9.98e-05
Batch : 51 / 196 | Time 265 ms | Train Loss : 4.9643 | Grad Norm : 5.9894 | Learning rate : 9.98e-05
Batch : 52 / 196 | Time 273 ms | Train Loss : 4.9395 | Grad Norm : 8.9380 | Learning rate : 9.98e-05
Batch : 53 / 196 | Time 265 ms | Train Loss : 4.9115 | Grad Norm : 7.0067 | Learning rate : 9.98e-05
Batch : 54 / 196 | Time 264 ms | Train Loss : 4.9865 | Grad Norm : 7.1298 | Learning rate : 9.98e-05
Batch : 55 / 196 | Time 267 ms | Train Loss : 4.8933 | Grad Norm : 8.6625 | Learning rate : 9.98e-05
Batch : 56 / 196 | Time 262 ms | Train Loss : 4.9400 | Grad Norm : 6.4194 | Learning rate : 9.97e-05
Batch : 57 / 196 | Time 264 ms | Train Loss : 4.9256 | Grad Norm : 5.0738 | Learning rate : 9.97e-05
Batch : 58 / 196 | Time 265 ms | Train Loss : 4.9285 | Grad Norm : 5.7194 | Learning rate : 9.97e-05
Batch : 59 / 196 | Time 263 ms | Train Loss : 4.9744 | Grad Norm : 7.2655 | Learning rate : 9.97e-05
Batch : 60 / 196 | Time 265 ms | Train Loss : 4.8860 | Grad Norm : 9.4176 | Learning rate : 9.97e-05
Batch : 61 / 196 | Time 266 ms | Train Loss : 4.9457 | Grad Norm : 6.6099 | Learning rate : 9.97e-05
Batch : 62 / 196 | Time 265 ms | Train Loss : 4.8526 | Grad Norm : 8.9903 | Learning rate : 9.97e-05
Batch : 63 / 196 | Time 268 ms | Train Loss : 4.9339 | Grad Norm : 10.1919 | Learning rate : 9.97e-05
Batch : 64 / 196 | Time 266 ms | Train Loss : 4.9459 | Grad Norm : 9.5717 | Learning rate : 9.97e-05
Batch : 65 / 196 | Time 265 ms | Train Loss : 4.8708 | Grad Norm : 8.1267 | Learning rate : 9.97e-05
Batch : 66 / 196 | Time 264 ms | Train Loss : 4.8895 | Grad Norm : 5.6398 | Learning rate : 9.96e-05
Batch : 67 / 196 | Time 263 ms | Train Loss : 4.8255 | Grad Norm : 14.6603 | Learning rate : 9.96e-05
Batch : 68 / 196 | Time 263 ms | Train Loss : 4.8634 | Grad Norm : 10.6234 | Learning rate : 9.96e-05
Batch : 69 / 196 | Time 274 ms | Train Loss : 4.9684 | Grad Norm : 12.8542 | Learning rate : 9.96e-05
Batch : 70 / 196 | Time 265 ms | Train Loss : 4.8352 | Grad Norm : 10.4884 | Learning rate : 9.96e-05
Batch : 71 / 196 | Time 268 ms | Train Loss : 4.8804 | Grad Norm : 15.2002 | Learning rate : 9.96e-05
Batch : 72 / 196 | Time 264 ms | Train Loss : 4.9058 | Grad Norm : 15.4655 | Learning rate : 9.96e-05
Batch : 73 / 196 | Time 265 ms | Train Loss : 4.9471 | Grad Norm : 12.8561 | Learning rate : 9.96e-05
Batch : 74 / 196 | Time 265 ms | Train Loss : 4.9473 | Grad Norm : 13.1407 | Learning rate : 9.96e-05
Batch : 75 / 196 | Time 268 ms | Train Loss : 4.9159 | Grad Norm : 5.5948 | Learning rate : 9.95e-05
Batch : 76 / 196 | Time 263 ms | Train Loss : 4.9060 | Grad Norm : 6.1401 | Learning rate : 9.95e-05
Batch : 77 / 196 | Time 264 ms | Train Loss : 4.9321 | Grad Norm : 5.0216 | Learning rate : 9.95e-05
Batch : 78 / 196 | Time 264 ms | Train Loss : 4.9238 | Grad Norm : 9.1511 | Learning rate : 9.95e-05
Batch : 79 / 196 | Time 273 ms | Train Loss : 4.8638 | Grad Norm : 12.1067 | Learning rate : 9.95e-05
Batch : 80 / 196 | Time 267 ms | Train Loss : 4.9018 | Grad Norm : 6.9096 | Learning rate : 9.95e-05
Batch : 81 / 196 | Time 273 ms | Train Loss : 4.9198 | Grad Norm : 6.3739 | Learning rate : 9.95e-05
Batch : 82 / 196 | Time 264 ms | Train Loss : 4.8947 | Grad Norm : 10.7089 | Learning rate : 9.95e-05
Batch : 83 / 196 | Time 266 ms | Train Loss : 4.9510 | Grad Norm : 11.8743 | Learning rate : 9.94e-05
Batch : 84 / 196 | Time 269 ms | Train Loss : 4.8897 | Grad Norm : 4.3184 | Learning rate : 9.94e-05
Batch : 85 / 196 | Time 268 ms | Train Loss : 4.8350 | Grad Norm : 9.7402 | Learning rate : 9.94e-05
Batch : 86 / 196 | Time 265 ms | Train Loss : 4.7683 | Grad Norm : 7.9577 | Learning rate : 9.94e-05
Batch : 87 / 196 | Time 273 ms | Train Loss : 4.8948 | Grad Norm : 12.5595 | Learning rate : 9.94e-05
Batch : 88 / 196 | Time 271 ms | Train Loss : 4.9004 | Grad Norm : 6.6077 | Learning rate : 9.94e-05
Batch : 89 / 196 | Time 264 ms | Train Loss : 4.8124 | Grad Norm : 11.4278 | Learning rate : 9.94e-05
Batch : 90 / 196 | Time 264 ms | Train Loss : 4.8521 | Grad Norm : 18.4777 | Learning rate : 9.93e-05
Batch : 91 / 196 | Time 264 ms | Train Loss : 4.8135 | Grad Norm : 13.8218 | Learning rate : 9.93e-05
Batch : 92 / 196 | Time 263 ms | Train Loss : 4.9086 | Grad Norm : 17.1208 | Learning rate : 9.93e-05
Batch : 93 / 196 | Time 264 ms | Train Loss : 4.9573 | Grad Norm : 22.2841 | Learning rate : 9.93e-05
Batch : 94 / 196 | Time 263 ms | Train Loss : 4.9014 | Grad Norm : 18.2339 | Learning rate : 9.93e-05
Batch : 95 / 196 | Time 263 ms | Train Loss : 4.9288 | Grad Norm : 13.1948 | Learning rate : 9.93e-05
Batch : 96 / 196 | Time 264 ms | Train Loss : 4.9031 | Grad Norm : 21.2767 | Learning rate : 9.93e-05
Batch : 97 / 196 | Time 263 ms | Train Loss : 4.8335 | Grad Norm : 14.4954 | Learning rate : 9.92e-05
Batch : 98 / 196 | Time 269 ms | Train Loss : 4.8480 | Grad Norm : 12.6763 | Learning rate : 9.92e-05
Batch : 99 / 196 | Time 266 ms | Train Loss : 4.8676 | Grad Norm : 7.9062 | Learning rate : 9.92e-05
Batch : 100 / 196 | Time 265 ms | Train Loss : 4.9053 | Grad Norm : 7.2746 | Learning rate : 9.92e-05
Batch : 101 / 196 | Time 265 ms | Train Loss : 4.8204 | Grad Norm : 12.6537 | Learning rate : 9.92e-05
Batch : 102 / 196 | Time 268 ms | Train Loss : 4.7830 | Grad Norm : 8.1536 | Learning rate : 9.92e-05
Batch : 103 / 196 | Time 265 ms | Train Loss : 4.9342 | Grad Norm : 9.8846 | Learning rate : 9.91e-05
Batch : 104 / 196 | Time 269 ms | Train Loss : 4.9423 | Grad Norm : 13.9889 | Learning rate : 9.91e-05
Batch : 105 / 196 | Time 264 ms | Train Loss : 4.8644 | Grad Norm : 7.9870 | Learning rate : 9.91e-05
Batch : 106 / 196 | Time 273 ms | Train Loss : 4.8727 | Grad Norm : 13.9959 | Learning rate : 9.91e-05
Batch : 107 / 196 | Time 260 ms | Train Loss : 4.9585 | Grad Norm : 24.4947 | Learning rate : 9.91e-05
Batch : 108 / 196 | Time 266 ms | Train Loss : 4.9395 | Grad Norm : 14.0988 | Learning rate : 9.91e-05
Batch : 109 / 196 | Time 271 ms | Train Loss : 4.8687 | Grad Norm : 16.9342 | Learning rate : 9.90e-05
Batch : 110 / 196 | Time 265 ms | Train Loss : 4.9708 | Grad Norm : 16.1083 | Learning rate : 9.90e-05
Batch : 111 / 196 | Time 271 ms | Train Loss : 4.9217 | Grad Norm : 7.1417 | Learning rate : 9.90e-05
Batch : 112 / 196 | Time 271 ms | Train Loss : 4.8280 | Grad Norm : 21.7217 | Learning rate : 9.90e-05
Batch : 113 / 196 | Time 260 ms | Train Loss : 4.9173 | Grad Norm : 19.3679 | Learning rate : 9.90e-05
Batch : 114 / 196 | Time 262 ms | Train Loss : 4.8690 | Grad Norm : 9.1821 | Learning rate : 9.90e-05
Batch : 115 / 196 | Time 268 ms | Train Loss : 4.9406 | Grad Norm : 9.0555 | Learning rate : 9.89e-05
Batch : 116 / 196 | Time 263 ms | Train Loss : 4.8440 | Grad Norm : 4.9563 | Learning rate : 9.89e-05
Batch : 117 / 196 | Time 264 ms | Train Loss : 4.8460 | Grad Norm : 10.8016 | Learning rate : 9.89e-05
Batch : 118 / 196 | Time 271 ms | Train Loss : 4.7715 | Grad Norm : 13.2684 | Learning rate : 9.89e-05
Batch : 119 / 196 | Time 266 ms | Train Loss : 4.9304 | Grad Norm : 8.8588 | Learning rate : 9.89e-05
Batch : 120 / 196 | Time 268 ms | Train Loss : 4.8931 | Grad Norm : 8.1235 | Learning rate : 9.88e-05
Batch : 121 / 196 | Time 263 ms | Train Loss : 4.7932 | Grad Norm : 12.1422 | Learning rate : 9.88e-05
Batch : 122 / 196 | Time 269 ms | Train Loss : 4.8684 | Grad Norm : 7.5426 | Learning rate : 9.88e-05
Batch : 123 / 196 | Time 264 ms | Train Loss : 4.8726 | Grad Norm : 7.9078 | Learning rate : 9.88e-05
Batch : 124 / 196 | Time 263 ms | Train Loss : 4.7652 | Grad Norm : 6.0849 | Learning rate : 9.88e-05
Batch : 125 / 196 | Time 269 ms | Train Loss : 4.7018 | Grad Norm : 14.6103 | Learning rate : 9.87e-05
Batch : 126 / 196 | Time 265 ms | Train Loss : 4.9378 | Grad Norm : 18.9070 | Learning rate : 9.87e-05
Batch : 127 / 196 | Time 263 ms | Train Loss : 4.8289 | Grad Norm : 19.0447 | Learning rate : 9.87e-05
Batch : 128 / 196 | Time 263 ms | Train Loss : 4.9194 | Grad Norm : 12.6621 | Learning rate : 9.87e-05
Batch : 129 / 196 | Time 265 ms | Train Loss : 4.8392 | Grad Norm : 7.8325 | Learning rate : 9.87e-05
Batch : 130 / 196 | Time 262 ms | Train Loss : 4.9274 | Grad Norm : 18.6065 | Learning rate : 9.86e-05
Batch : 131 / 196 | Time 270 ms | Train Loss : 4.8305 | Grad Norm : 17.7141 | Learning rate : 9.86e-05
Batch : 132 / 196 | Time 267 ms | Train Loss : 4.8688 | Grad Norm : 16.7056 | Learning rate : 9.86e-05
Batch : 133 / 196 | Time 269 ms | Train Loss : 4.9304 | Grad Norm : 19.3704 | Learning rate : 9.86e-05
Batch : 134 / 196 | Time 266 ms | Train Loss : 4.8953 | Grad Norm : 7.3781 | Learning rate : 9.86e-05
Batch : 135 / 196 | Time 266 ms | Train Loss : 4.8588 | Grad Norm : 7.1578 | Learning rate : 9.85e-05
Batch : 136 / 196 | Time 264 ms | Train Loss : 4.8643 | Grad Norm : 7.3541 | Learning rate : 9.85e-05
Batch : 137 / 196 | Time 266 ms | Train Loss : 4.8233 | Grad Norm : 5.5054 | Learning rate : 9.85e-05
Batch : 138 / 196 | Time 265 ms | Train Loss : 4.8127 | Grad Norm : 15.5096 | Learning rate : 9.85e-05
Batch : 139 / 196 | Time 265 ms | Train Loss : 4.8769 | Grad Norm : 7.1936 | Learning rate : 9.85e-05
Batch : 140 / 196 | Time 268 ms | Train Loss : 4.8070 | Grad Norm : 13.7060 | Learning rate : 9.84e-05
Batch : 141 / 196 | Time 265 ms | Train Loss : 4.8222 | Grad Norm : 8.4167 | Learning rate : 9.84e-05
Batch : 142 / 196 | Time 269 ms | Train Loss : 4.8306 | Grad Norm : 6.5547 | Learning rate : 9.84e-05
Batch : 143 / 196 | Time 268 ms | Train Loss : 4.7744 | Grad Norm : 15.9002 | Learning rate : 9.84e-05
Batch : 144 / 196 | Time 265 ms | Train Loss : 4.8528 | Grad Norm : 9.9569 | Learning rate : 9.83e-05
Batch : 145 / 196 | Time 267 ms | Train Loss : 4.7787 | Grad Norm : 14.2733 | Learning rate : 9.83e-05
Batch : 146 / 196 | Time 265 ms | Train Loss : 4.7789 | Grad Norm : 5.6308 | Learning rate : 9.83e-05
Batch : 147 / 196 | Time 266 ms | Train Loss : 4.9901 | Grad Norm : 12.0812 | Learning rate : 9.83e-05
Batch : 148 / 196 | Time 264 ms | Train Loss : 4.7737 | Grad Norm : 11.0343 | Learning rate : 9.82e-05
Batch : 149 / 196 | Time 264 ms | Train Loss : 4.7787 | Grad Norm : 6.4291 | Learning rate : 9.82e-05
Batch : 150 / 196 | Time 262 ms | Train Loss : 4.8763 | Grad Norm : 12.3142 | Learning rate : 9.82e-05
Batch : 151 / 196 | Time 263 ms | Train Loss : 4.7803 | Grad Norm : 8.6487 | Learning rate : 9.82e-05
Batch : 152 / 196 | Time 266 ms | Train Loss : 4.8159 | Grad Norm : 10.1258 | Learning rate : 9.82e-05
Batch : 153 / 196 | Time 269 ms | Train Loss : 4.7820 | Grad Norm : 7.0918 | Learning rate : 9.81e-05
Batch : 154 / 196 | Time 270 ms | Train Loss : 4.8561 | Grad Norm : 8.6624 | Learning rate : 9.81e-05
Batch : 155 / 196 | Time 266 ms | Train Loss : 4.7710 | Grad Norm : 8.9883 | Learning rate : 9.81e-05
Batch : 156 / 196 | Time 264 ms | Train Loss : 4.7601 | Grad Norm : 6.6004 | Learning rate : 9.81e-05
Batch : 157 / 196 | Time 264 ms | Train Loss : 4.7633 | Grad Norm : 19.9595 | Learning rate : 9.80e-05
Batch : 158 / 196 | Time 264 ms | Train Loss : 4.9047 | Grad Norm : 10.1350 | Learning rate : 9.80e-05
Batch : 159 / 196 | Time 262 ms | Train Loss : 4.6059 | Grad Norm : 8.3013 | Learning rate : 9.80e-05
Batch : 160 / 196 | Time 262 ms | Train Loss : 4.8806 | Grad Norm : 12.3955 | Learning rate : 9.80e-05
Batch : 161 / 196 | Time 263 ms | Train Loss : 4.8393 | Grad Norm : 8.3873 | Learning rate : 9.79e-05
Batch : 162 / 196 | Time 265 ms | Train Loss : 4.8538 | Grad Norm : 6.6626 | Learning rate : 9.79e-05
Batch : 163 / 196 | Time 265 ms | Train Loss : 4.7285 | Grad Norm : 6.5953 | Learning rate : 9.79e-05
Batch : 164 / 196 | Time 258 ms | Train Loss : 4.6974 | Grad Norm : 10.3081 | Learning rate : 9.79e-05
Batch : 165 / 196 | Time 266 ms | Train Loss : 4.8434 | Grad Norm : 8.1072 | Learning rate : 9.78e-05
Batch : 166 / 196 | Time 262 ms | Train Loss : 4.7189 | Grad Norm : 7.4812 | Learning rate : 9.78e-05
Batch : 167 / 196 | Time 262 ms | Train Loss : 4.7910 | Grad Norm : 13.0920 | Learning rate : 9.78e-05
Batch : 168 / 196 | Time 264 ms | Train Loss : 4.8376 | Grad Norm : 15.7826 | Learning rate : 9.78e-05
Batch : 169 / 196 | Time 263 ms | Train Loss : 4.7475 | Grad Norm : 15.8761 | Learning rate : 9.77e-05
Batch : 170 / 196 | Time 264 ms | Train Loss : 4.7462 | Grad Norm : 10.1556 | Learning rate : 9.77e-05
Batch : 171 / 196 | Time 263 ms | Train Loss : 4.8550 | Grad Norm : 8.7799 | Learning rate : 9.77e-05
Batch : 172 / 196 | Time 263 ms | Train Loss : 4.8521 | Grad Norm : 17.0005 | Learning rate : 9.76e-05
Batch : 173 / 196 | Time 262 ms | Train Loss : 4.7363 | Grad Norm : 11.8217 | Learning rate : 9.76e-05
Batch : 174 / 196 | Time 263 ms | Train Loss : 4.6702 | Grad Norm : 9.2614 | Learning rate : 9.76e-05
Batch : 175 / 196 | Time 265 ms | Train Loss : 4.7263 | Grad Norm : 10.4188 | Learning rate : 9.76e-05
Batch : 176 / 196 | Time 262 ms | Train Loss : 4.7678 | Grad Norm : 11.1050 | Learning rate : 9.75e-05
Batch : 177 / 196 | Time 263 ms | Train Loss : 4.8659 | Grad Norm : 25.8973 | Learning rate : 9.75e-05
Batch : 178 / 196 | Time 263 ms | Train Loss : 4.8596 | Grad Norm : 24.3274 | Learning rate : 9.75e-05
Batch : 179 / 196 | Time 266 ms | Train Loss : 4.8135 | Grad Norm : 10.6809 | Learning rate : 9.75e-05
Batch : 180 / 196 | Time 266 ms | Train Loss : 4.8793 | Grad Norm : 23.6220 | Learning rate : 9.74e-05
Batch : 181 / 196 | Time 269 ms | Train Loss : 4.7945 | Grad Norm : 26.0330 | Learning rate : 9.74e-05
Batch : 182 / 196 | Time 259 ms | Train Loss : 4.7677 | Grad Norm : 11.5902 | Learning rate : 9.74e-05
Batch : 183 / 196 | Time 268 ms | Train Loss : 4.8677 | Grad Norm : 14.4921 | Learning rate : 9.73e-05
Batch : 184 / 196 | Time 266 ms | Train Loss : 4.8441 | Grad Norm : 21.2805 | Learning rate : 9.73e-05
Batch : 185 / 196 | Time 265 ms | Train Loss : 4.8247 | Grad Norm : 13.3177 | Learning rate : 9.73e-05
Batch : 186 / 196 | Time 264 ms | Train Loss : 4.7352 | Grad Norm : 13.3886 | Learning rate : 9.73e-05
Batch : 187 / 196 | Time 265 ms | Train Loss : 4.7534 | Grad Norm : 12.5461 | Learning rate : 9.72e-05
Batch : 188 / 196 | Time 265 ms | Train Loss : 4.7955 | Grad Norm : 17.1766 | Learning rate : 9.72e-05
Batch : 189 / 196 | Time 265 ms | Train Loss : 4.7493 | Grad Norm : 11.3500 | Learning rate : 9.72e-05
Batch : 190 / 196 | Time 263 ms | Train Loss : 4.7866 | Grad Norm : 14.6936 | Learning rate : 9.71e-05
Batch : 191 / 196 | Time 266 ms | Train Loss : 4.7604 | Grad Norm : 7.2364 | Learning rate : 9.71e-05
Batch : 192 / 196 | Time 269 ms | Train Loss : 4.7261 | Grad Norm : 16.2226 | Learning rate : 9.71e-05
Batch : 193 / 196 | Time 265 ms | Train Loss : 4.7981 | Grad Norm : 16.2198 | Learning rate : 9.70e-05
Batch : 194 / 196 | Time 273 ms | Train Loss : 4.7635 | Grad Norm : 10.3004 | Learning rate : 9.70e-05
Batch : 195 / 196 | Time 114 ms | Train Loss : 3.5333 | Grad Norm : 15.9052 | Learning rate : 9.70e-05
Epoch : 1 | Training Loss : 3.5333| Accuracy on test set : 0.3816
 Batch : 0 / 196 | Time 288 ms | Train Loss : 4.8088 | Grad Norm : 7.5943 | Learning rate : 9.70e-05
Batch : 1 / 196 | Time 274 ms | Train Loss : 4.6257 | Grad Norm : 9.5947 | Learning rate : 9.69e-05
Batch : 2 / 196 | Time 266 ms | Train Loss : 4.7405 | Grad Norm : 5.3702 | Learning rate : 9.69e-05
Batch : 3 / 196 | Time 268 ms | Train Loss : 4.7043 | Grad Norm : 10.1677 | Learning rate : 9.69e-05
Batch : 4 / 196 | Time 267 ms | Train Loss : 4.6929 | Grad Norm : 12.6031 | Learning rate : 9.68e-05
Batch : 5 / 196 | Time 264 ms | Train Loss : 4.7294 | Grad Norm : 9.2023 | Learning rate : 9.68e-05
Batch : 6 / 196 | Time 263 ms | Train Loss : 4.7824 | Grad Norm : 15.0652 | Learning rate : 9.68e-05
Batch : 7 / 196 | Time 267 ms | Train Loss : 4.8327 | Grad Norm : 12.4926 | Learning rate : 9.67e-05
Batch : 8 / 196 | Time 272 ms | Train Loss : 4.7867 | Grad Norm : 12.6965 | Learning rate : 9.67e-05
Batch : 9 / 196 | Time 268 ms | Train Loss : 4.7577 | Grad Norm : 13.1468 | Learning rate : 9.67e-05
Batch : 10 / 196 | Time 270 ms | Train Loss : 4.7926 | Grad Norm : 10.0431 | Learning rate : 9.66e-05
Batch : 11 / 196 | Time 265 ms | Train Loss : 4.8035 | Grad Norm : 15.5007 | Learning rate : 9.66e-05
Batch : 12 / 196 | Time 266 ms | Train Loss : 4.7360 | Grad Norm : 6.7749 | Learning rate : 9.66e-05
Batch : 13 / 196 | Time 263 ms | Train Loss : 4.9352 | Grad Norm : 13.9090 | Learning rate : 9.65e-05
Batch : 14 / 196 | Time 264 ms | Train Loss : 4.7682 | Grad Norm : 8.0456 | Learning rate : 9.65e-05
Batch : 15 / 196 | Time 265 ms | Train Loss : 4.8481 | Grad Norm : 14.8031 | Learning rate : 9.65e-05
Batch : 16 / 196 | Time 273 ms | Train Loss : 4.7290 | Grad Norm : 9.4342 | Learning rate : 9.64e-05
Batch : 17 / 196 | Time 264 ms | Train Loss : 4.8259 | Grad Norm : 9.6631 | Learning rate : 9.64e-05
Batch : 18 / 196 | Time 264 ms | Train Loss : 4.7814 | Grad Norm : 7.0989 | Learning rate : 9.64e-05
Batch : 19 / 196 | Time 266 ms | Train Loss : 4.8416 | Grad Norm : 22.3084 | Learning rate : 9.63e-05
Batch : 20 / 196 | Time 265 ms | Train Loss : 4.7763 | Grad Norm : 22.9080 | Learning rate : 9.63e-05
Batch : 21 / 196 | Time 265 ms | Train Loss : 4.7203 | Grad Norm : 11.4754 | Learning rate : 9.63e-05
Batch : 22 / 196 | Time 264 ms | Train Loss : 4.8367 | Grad Norm : 21.0086 | Learning rate : 9.62e-05
Batch : 23 / 196 | Time 261 ms | Train Loss : 4.7180 | Grad Norm : 14.4487 | Learning rate : 9.62e-05
Batch : 24 / 196 | Time 272 ms | Train Loss : 4.7998 | Grad Norm : 13.1826 | Learning rate : 9.62e-05
Batch : 25 / 196 | Time 265 ms | Train Loss : 4.6507 | Grad Norm : 15.4654 | Learning rate : 9.61e-05
Batch : 26 / 196 | Time 267 ms | Train Loss : 4.8257 | Grad Norm : 12.5691 | Learning rate : 9.61e-05
Batch : 27 / 196 | Time 271 ms | Train Loss : 4.8354 | Grad Norm : 16.5664 | Learning rate : 9.61e-05
Batch : 28 / 196 | Time 264 ms | Train Loss : 4.7467 | Grad Norm : 7.0737 | Learning rate : 9.60e-05
Batch : 29 / 196 | Time 265 ms | Train Loss : 4.7772 | Grad Norm : 23.2277 | Learning rate : 9.60e-05
Batch : 30 / 196 | Time 268 ms | Train Loss : 4.7771 | Grad Norm : 25.1131 | Learning rate : 9.60e-05
Batch : 31 / 196 | Time 269 ms | Train Loss : 4.7476 | Grad Norm : 10.2246 | Learning rate : 9.59e-05
Batch : 32 / 196 | Time 263 ms | Train Loss : 4.7312 | Grad Norm : 15.3454 | Learning rate : 9.59e-05
Batch : 33 / 196 | Time 263 ms | Train Loss : 4.7706 | Grad Norm : 9.6804 | Learning rate : 9.59e-05
Batch : 34 / 196 | Time 263 ms | Train Loss : 4.8133 | Grad Norm : 21.4631 | Learning rate : 9.58e-05
Batch : 35 / 196 | Time 263 ms | Train Loss : 4.6273 | Grad Norm : 16.4777 | Learning rate : 9.58e-05
Batch : 36 / 196 | Time 268 ms | Train Loss : 4.7025 | Grad Norm : 10.7167 | Learning rate : 9.58e-05
Batch : 37 / 196 | Time 267 ms | Train Loss : 4.8375 | Grad Norm : 15.4487 | Learning rate : 9.57e-05
Batch : 38 / 196 | Time 270 ms | Train Loss : 4.6698 | Grad Norm : 10.5361 | Learning rate : 9.57e-05
Batch : 39 / 196 | Time 267 ms | Train Loss : 4.6907 | Grad Norm : 19.4323 | Learning rate : 9.56e-05
Batch : 40 / 196 | Time 264 ms | Train Loss : 4.7438 | Grad Norm : 17.5448 | Learning rate : 9.56e-05
Batch : 41 / 196 | Time 269 ms | Train Loss : 4.6777 | Grad Norm : 10.6821 | Learning rate : 9.56e-05
Batch : 42 / 196 | Time 268 ms | Train Loss : 4.6808 | Grad Norm : 16.0876 | Learning rate : 9.55e-05
Batch : 43 / 196 | Time 264 ms | Train Loss : 4.8385 | Grad Norm : 17.3366 | Learning rate : 9.55e-05
Batch : 44 / 196 | Time 268 ms | Train Loss : 4.6719 | Grad Norm : 7.5448 | Learning rate : 9.55e-05
Batch : 45 / 196 | Time 270 ms | Train Loss : 4.7661 | Grad Norm : 13.1402 | Learning rate : 9.54e-05
Batch : 46 / 196 | Time 264 ms | Train Loss : 4.7358 | Grad Norm : 13.5945 | Learning rate : 9.54e-05
Batch : 47 / 196 | Time 264 ms | Train Loss : 4.8156 | Grad Norm : 10.6416 | Learning rate : 9.54e-05
Batch : 48 / 196 | Time 265 ms | Train Loss : 4.6708 | Grad Norm : 14.5214 | Learning rate : 9.53e-05
Batch : 49 / 196 | Time 264 ms | Train Loss : 4.6637 | Grad Norm : 6.2674 | Learning rate : 9.53e-05
Batch : 50 / 196 | Time 267 ms | Train Loss : 4.6841 | Grad Norm : 6.5262 | Learning rate : 9.52e-05
Batch : 51 / 196 | Time 266 ms | Train Loss : 4.7262 | Grad Norm : 10.7447 | Learning rate : 9.52e-05
Batch : 52 / 196 | Time 270 ms | Train Loss : 4.6425 | Grad Norm : 13.5958 | Learning rate : 9.52e-05
