Device : cuda
Training samples 50000
Batch : 0 / 196 | Time 13980 ms | Train Loss : 5.5452 | Grad Norm : 0.0599
Batch : 106 / 196 | Time 767 ms | Train Loss : 5.1114 | Grad Norm : 1.3355
Batch : 107 / 196 | Time 734 ms | Train Loss : 5.0443 | Grad Norm : 1.6186
Batch : 108 / 196 | Time 759 ms | Train Loss : 5.2615 | Grad Norm : 2.2023
Batch : 109 / 196 | Time 745 ms | Train Loss : 5.1959 | Grad Norm : 3.6657
Batch : 110 / 196 | Time 761 ms | Train Loss : 5.0414 | Grad Norm : 2.8981
Batch : 111 / 196 | Time 741 ms | Train Loss : 5.1147 | Grad Norm : 1.6825
Batch : 112 / 196 | Time 747 ms | Train Loss : 5.1705 | Grad Norm : 4.5637
Batch : 113 / 196 | Time 741 ms | Train Loss : 5.0953 | Grad Norm : 1.0481
Batch : 114 / 196 | Time 748 ms | Train Loss : 5.1767 | Grad Norm : 4.8055
Batch : 115 / 196 | Time 760 ms | Train Loss : 5.0997 | Grad Norm : 1.6803
Batch : 116 / 196 | Time 748 ms | Train Loss : 5.0583 | Grad Norm : 3.4209
Batch : 117 / 196 | Time 744 ms | Train Loss : 5.0813 | Grad Norm : 1.2513
Batch : 118 / 196 | Time 758 ms | Train Loss : 5.1403 | Grad Norm : 3.5133
Batch : 119 / 196 | Time 750 ms | Train Loss : 5.2030 | Grad Norm : 2.3330
Batch : 120 / 196 | Time 755 ms | Train Loss : 5.0761 | Grad Norm : 3.3302
Batch : 121 / 196 | Time 752 ms | Train Loss : 5.1319 | Grad Norm : 3.6314
Batch : 122 / 196 | Time 744 ms | Train Loss : 5.1605 | Grad Norm : 3.4996
Batch : 123 / 196 | Time 752 ms | Train Loss : 5.1433 | Grad Norm : 3.2743
Batch : 124 / 196 | Time 746 ms | Train Loss : 5.0925 | Grad Norm : 2.8189
Batch : 125 / 196 | Time 728 ms | Train Loss : 5.0885 | Grad Norm : 2.2209
Batch : 126 / 196 | Time 738 ms | Train Loss : 5.1217 | Grad Norm : 5.4553
Batch : 127 / 196 | Time 753 ms | Train Loss : 5.2093 | Grad Norm : 5.6133
Batch : 128 / 196 | Time 740 ms | Train Loss : 5.1312 | Grad Norm : 2.5881
Batch : 129 / 196 | Time 753 ms | Train Loss : 5.0942 | Grad Norm : 2.3538
Batch : 130 / 196 | Time 733 ms | Train Loss : 5.1433 | Grad Norm : 2.2901
Batch : 131 / 196 | Time 731 ms | Train Loss : 5.1359 | Grad Norm : 1.1748
Batch : 132 / 196 | Time 731 ms | Train Loss : 5.0888 | Grad Norm : 1.6222
Batch : 133 / 196 | Time 764 ms | Train Loss : 5.1608 | Grad Norm : 1.1424
Batch : 134 / 196 | Time 741 ms | Train Loss : 5.1174 | Grad Norm : 1.2113
Batch : 135 / 196 | Time 768 ms | Train Loss : 5.1250 | Grad Norm : 1.9387
Batch : 136 / 196 | Time 735 ms | Train Loss : 5.1410 | Grad Norm : 1.2287
Batch : 137 / 196 | Time 757 ms | Train Loss : 5.0678 | Grad Norm : 4.3274
Batch : 138 / 196 | Time 757 ms | Train Loss : 5.1278 | Grad Norm : 4.9651
Batch : 139 / 196 | Time 735 ms | Train Loss : 5.1156 | Grad Norm : 1.2602
Batch : 140 / 196 | Time 729 ms | Train Loss : 5.1692 | Grad Norm : 3.1797
Batch : 141 / 196 | Time 766 ms | Train Loss : 5.0686 | Grad Norm : 1.6062
Batch : 142 / 196 | Time 749 ms | Train Loss : 5.1552 | Grad Norm : 2.1924
Batch : 143 / 196 | Time 751 ms | Train Loss : 5.1155 | Grad Norm : 3.3664
Batch : 144 / 196 | Time 757 ms | Train Loss : 5.1007 | Grad Norm : 1.1840
Batch : 145 / 196 | Time 757 ms | Train Loss : 5.1136 | Grad Norm : 3.0822
Batch : 146 / 196 | Time 735 ms | Train Loss : 5.1009 | Grad Norm : 4.5776
Batch : 147 / 196 | Time 761 ms | Train Loss : 5.0302 | Grad Norm : 3.6712
Batch : 148 / 196 | Time 732 ms | Train Loss : 5.0433 | Grad Norm : 2.2344
Batch : 149 / 196 | Time 738 ms | Train Loss : 5.0988 | Grad Norm : 3.0930
Batch : 150 / 196 | Time 756 ms | Train Loss : 5.0310 | Grad Norm : 2.7057
Batch : 151 / 196 | Time 759 ms | Train Loss : 5.0875 | Grad Norm : 1.7991
Batch : 152 / 196 | Time 744 ms | Train Loss : 5.0627 | Grad Norm : 1.5206
Batch : 153 / 196 | Time 757 ms | Train Loss : 5.0258 | Grad Norm : 2.2654
Batch : 154 / 196 | Time 742 ms | Train Loss : 5.0182 | Grad Norm : 1.1138
Batch : 155 / 196 | Time 753 ms | Train Loss : 5.0589 | Grad Norm : 4.8024
Batch : 156 / 196 | Time 769 ms | Train Loss : 5.0309 | Grad Norm : 2.8437
Batch : 157 / 196 | Time 733 ms | Train Loss : 4.9769 | Grad Norm : 4.7200
Batch : 158 / 196 | Time 766 ms | Train Loss : 5.0832 | Grad Norm : 7.5933
Batch : 159 / 196 | Time 743 ms | Train Loss : 5.0301 | Grad Norm : 1.7898
Batch : 160 / 196 | Time 742 ms | Train Loss : 5.1075 | Grad Norm : 6.3290
Batch : 161 / 196 | Time 736 ms | Train Loss : 5.0390 | Grad Norm : 2.4002
Batch : 162 / 196 | Time 760 ms | Train Loss : 5.0524 | Grad Norm : 3.9912
Batch : 163 / 196 | Time 738 ms | Train Loss : 4.9761 | Grad Norm : 1.1627
Batch : 164 / 196 | Time 772 ms | Train Loss : 5.0256 | Grad Norm : 7.6317
Batch : 165 / 196 | Time 744 ms | Train Loss : 4.9903 | Grad Norm : 2.0397
Batch : 166 / 196 | Time 733 ms | Train Loss : 5.0355 | Grad Norm : 4.4052
Batch : 167 / 196 | Time 734 ms | Train Loss : 4.9642 | Grad Norm : 2.1260
Batch : 168 / 196 | Time 759 ms | Train Loss : 5.0930 | Grad Norm : 8.4637
Batch : 169 / 196 | Time 755 ms | Train Loss : 5.1232 | Grad Norm : 6.0272
Batch : 170 / 196 | Time 746 ms | Train Loss : 5.0504 | Grad Norm : 2.1319
Batch : 171 / 196 | Time 759 ms | Train Loss : 5.0126 | Grad Norm : 3.1781
Batch : 172 / 196 | Time 753 ms | Train Loss : 5.0890 | Grad Norm : 2.1522
Batch : 173 / 196 | Time 743 ms | Train Loss : 5.0504 | Grad Norm : 1.3407
Batch : 174 / 196 | Time 775 ms | Train Loss : 5.0674 | Grad Norm : 2.0665
Batch : 175 / 196 | Time 746 ms | Train Loss : 5.0078 | Grad Norm : 3.0055
Batch : 176 / 196 | Time 739 ms | Train Loss : 5.0358 | Grad Norm : 2.0529
Batch : 177 / 196 | Time 736 ms | Train Loss : 5.0427 | Grad Norm : 3.2898
Batch : 178 / 196 | Time 737 ms | Train Loss : 5.0094 | Grad Norm : 1.7650
Batch : 179 / 196 | Time 754 ms | Train Loss : 5.0128 | Grad Norm : 2.5181
Batch : 180 / 196 | Time 769 ms | Train Loss : 5.0707 | Grad Norm : 3.0826
Batch : 181 / 196 | Time 738 ms | Train Loss : 4.9879 | Grad Norm : 4.4751
Batch : 182 / 196 | Time 749 ms | Train Loss : 5.0564 | Grad Norm : 3.8126
Batch : 183 / 196 | Time 763 ms | Train Loss : 5.0163 | Grad Norm : 4.5523
Batch : 184 / 196 | Time 765 ms | Train Loss : 4.9601 | Grad Norm : 3.1203
Batch : 185 / 196 | Time 729 ms | Train Loss : 5.0455 | Grad Norm : 3.2284
Batch : 186 / 196 | Time 756 ms | Train Loss : 4.9587 | Grad Norm : 1.5459
Batch : 187 / 196 | Time 748 ms | Train Loss : 4.9932 | Grad Norm : 2.8910
Batch : 188 / 196 | Time 756 ms | Train Loss : 4.9960 | Grad Norm : 2.0465
Batch : 189 / 196 | Time 765 ms | Train Loss : 5.1214 | Grad Norm : 2.5850
Batch : 190 / 196 | Time 780 ms | Train Loss : 4.9845 | Grad Norm : 2.1091
Batch : 191 / 196 | Time 740 ms | Train Loss : 5.0052 | Grad Norm : 1.8298
Batch : 192 / 196 | Time 753 ms | Train Loss : 5.0032 | Grad Norm : 2.1562
Batch : 193 / 196 | Time 769 ms | Train Loss : 4.9977 | Grad Norm : 3.8525
Batch : 194 / 196 | Time 754 ms | Train Loss : 5.0513 | Grad Norm : 4.0965
Batch : 195 / 196 | Time 251 ms | Train Loss : 3.8778 | Grad Norm : 5.5585
Epoch : 1 | Training Loss : 3.8778
 Batch : 0 / 196 | Time 724 ms | Train Loss : 5.0947 | Grad Norm : 12.1531
Batch : 1 / 196 | Time 703 ms | Train Loss : 5.0928 | Grad Norm : 7.9912
Batch : 2 / 196 | Time 706 ms | Train Loss : 5.0493 | Grad Norm : 6.5600
Batch : 3 / 196 | Time 706 ms | Train Loss : 4.9296 | Grad Norm : 3.3313
Batch : 4 / 196 | Time 713 ms | Train Loss : 5.0981 | Grad Norm : 6.1315
Batch : 5 / 196 | Time 714 ms | Train Loss : 5.0238 | Grad Norm : 1.6114
Batch : 6 / 196 | Time 703 ms | Train Loss : 5.0114 | Grad Norm : 2.5399
Batch : 7 / 196 | Time 715 ms | Train Loss : 5.0953 | Grad Norm : 3.9654
Batch : 8 / 196 | Time 708 ms | Train Loss : 4.9719 | Grad Norm : 2.1471
Batch : 9 / 196 | Time 717 ms | Train Loss : 5.0571 | Grad Norm : 3.2456
Batch : 10 / 196 | Time 704 ms | Train Loss : 5.0692 | Grad Norm : 2.3491
Batch : 11 / 196 | Time 715 ms | Train Loss : 5.0864 | Grad Norm : 3.0937
Batch : 12 / 196 | Time 701 ms | Train Loss : 5.0039 | Grad Norm : 0.9915
Batch : 13 / 196 | Time 703 ms | Train Loss : 5.0300 | Grad Norm : 2.0638
Batch : 14 / 196 | Time 702 ms | Train Loss : 5.0167 | Grad Norm : 3.2854
Batch : 15 / 196 | Time 704 ms | Train Loss : 5.0472 | Grad Norm : 4.1453
Batch : 16 / 196 | Time 703 ms | Train Loss : 5.0459 | Grad Norm : 2.0159
Batch : 17 / 196 | Time 704 ms | Train Loss : 4.9486 | Grad Norm : 5.2967
Batch : 18 / 196 | Time 704 ms | Train Loss : 4.9887 | Grad Norm : 2.0577
Batch : 19 / 196 | Time 706 ms | Train Loss : 4.9528 | Grad Norm : 5.6591
Batch : 20 / 196 | Time 709 ms | Train Loss : 4.9521 | Grad Norm : 2.9977
Batch : 21 / 196 | Time 714 ms | Train Loss : 5.1293 | Grad Norm : 5.4879
Batch : 22 / 196 | Time 709 ms | Train Loss : 4.9550 | Grad Norm : 3.3278
Batch : 23 / 196 | Time 705 ms | Train Loss : 4.9186 | Grad Norm : 2.2134
Batch : 24 / 196 | Time 705 ms | Train Loss : 5.1095 | Grad Norm : 3.3735
Batch : 25 / 196 | Time 707 ms | Train Loss : 5.0718 | Grad Norm : 2.4266
Batch : 26 / 196 | Time 711 ms | Train Loss : 4.9955 | Grad Norm : 1.5748
Batch : 27 / 196 | Time 713 ms | Train Loss : 4.9704 | Grad Norm : 4.2605
Batch : 28 / 196 | Time 724 ms | Train Loss : 4.9537 | Grad Norm : 2.4049
Batch : 29 / 196 | Time 722 ms | Train Loss : 4.9794 | Grad Norm : 2.0028
Batch : 30 / 196 | Time 706 ms | Train Loss : 5.0531 | Grad Norm : 5.6889
Batch : 31 / 196 | Time 705 ms | Train Loss : 4.8915 | Grad Norm : 1.1282
Batch : 32 / 196 | Time 708 ms | Train Loss : 5.0120 | Grad Norm : 5.2129
Batch : 33 / 196 | Time 707 ms | Train Loss : 5.0551 | Grad Norm : 2.6516
Batch : 34 / 196 | Time 707 ms | Train Loss : 4.9563 | Grad Norm : 2.4291
Batch : 35 / 196 | Time 709 ms | Train Loss : 5.0345 | Grad Norm : 2.5582
Batch : 36 / 196 | Time 721 ms | Train Loss : 4.9715 | Grad Norm : 2.1359
Batch : 37 / 196 | Time 711 ms | Train Loss : 4.9665 | Grad Norm : 1.0761
Batch : 38 / 196 | Time 707 ms | Train Loss : 4.9528 | Grad Norm : 1.8937
Batch : 39 / 196 | Time 706 ms | Train Loss : 4.9583 | Grad Norm : 2.5856
Batch : 40 / 196 | Time 706 ms | Train Loss : 4.9469 | Grad Norm : 1.9088
Batch : 41 / 196 | Time 707 ms | Train Loss : 4.8778 | Grad Norm : 1.9921
Batch : 42 / 196 | Time 709 ms | Train Loss : 5.0168 | Grad Norm : 2.7982
Batch : 43 / 196 | Time 708 ms | Train Loss : 4.9177 | Grad Norm : 3.0748
Batch : 44 / 196 | Time 710 ms | Train Loss : 4.9079 | Grad Norm : 3.8535
Batch : 45 / 196 | Time 713 ms | Train Loss : 4.8662 | Grad Norm : 1.9235
Batch : 46 / 196 | Time 711 ms | Train Loss : 4.8262 | Grad Norm : 1.6673
Batch : 47 / 196 | Time 709 ms | Train Loss : 4.8625 | Grad Norm : 3.5886
Batch : 48 / 196 | Time 706 ms | Train Loss : 4.9082 | Grad Norm : 4.1968
Batch : 49 / 196 | Time 706 ms | Train Loss : 4.9091 | Grad Norm : 2.6580
Batch : 50 / 196 | Time 706 ms | Train Loss : 5.0518 | Grad Norm : 2.0732
Batch : 51 / 196 | Time 709 ms | Train Loss : 4.8965 | Grad Norm : 1.9312
Batch : 52 / 196 | Time 709 ms | Train Loss : 4.9658 | Grad Norm : 3.6676
Batch : 53 / 196 | Time 713 ms | Train Loss : 4.9405 | Grad Norm : 1.4803
Batch : 54 / 196 | Time 715 ms | Train Loss : 4.9053 | Grad Norm : 2.9319
Batch : 55 / 196 | Time 712 ms | Train Loss : 4.9206 | Grad Norm : 2.4145
Batch : 56 / 196 | Time 710 ms | Train Loss : 4.9733 | Grad Norm : 1.1581
Batch : 57 / 196 | Time 711 ms | Train Loss : 4.9719 | Grad Norm : 1.2460
Batch : 58 / 196 | Time 712 ms | Train Loss : 4.8838 | Grad Norm : 0.9857
Batch : 59 / 196 | Time 710 ms | Train Loss : 4.8749 | Grad Norm : 1.8957
Batch : 60 / 196 | Time 717 ms | Train Loss : 4.9887 | Grad Norm : 1.7172
Batch : 61 / 196 | Time 715 ms | Train Loss : 4.8882 | Grad Norm : 1.6279
Batch : 62 / 196 | Time 715 ms | Train Loss : 4.8693 | Grad Norm : 1.7629
Batch : 63 / 196 | Time 712 ms | Train Loss : 5.0689 | Grad Norm : 6.3656
Batch : 64 / 196 | Time 719 ms | Train Loss : 4.9639 | Grad Norm : 4.6362
Batch : 65 / 196 | Time 719 ms | Train Loss : 4.9250 | Grad Norm : 3.0734
Batch : 66 / 196 | Time 726 ms | Train Loss : 5.0115 | Grad Norm : 2.5804
Batch : 67 / 196 | Time 722 ms | Train Loss : 4.8919 | Grad Norm : 3.8531
Batch : 68 / 196 | Time 723 ms | Train Loss : 4.8965 | Grad Norm : 2.5179
Batch : 69 / 196 | Time 723 ms | Train Loss : 4.9455 | Grad Norm : 4.0963
Batch : 70 / 196 | Time 726 ms | Train Loss : 4.8857 | Grad Norm : 2.4340
Batch : 71 / 196 | Time 722 ms | Train Loss : 4.9077 | Grad Norm : 4.4675
Batch : 72 / 196 | Time 722 ms | Train Loss : 5.0021 | Grad Norm : 3.1829
Batch : 73 / 196 | Time 723 ms | Train Loss : 4.9418 | Grad Norm : 2.3596
Batch : 74 / 196 | Time 723 ms | Train Loss : 4.8726 | Grad Norm : 3.4788
Batch : 75 / 196 | Time 730 ms | Train Loss : 4.9288 | Grad Norm : 4.7787
Batch : 76 / 196 | Time 726 ms | Train Loss : 4.8833 | Grad Norm : 3.0725
Batch : 77 / 196 | Time 734 ms | Train Loss : 4.9571 | Grad Norm : 5.6823
Batch : 78 / 196 | Time 722 ms | Train Loss : 4.8739 | Grad Norm : 2.7350
Batch : 79 / 196 | Time 735 ms | Train Loss : 5.0788 | Grad Norm : 7.2167
Batch : 80 / 196 | Time 729 ms | Train Loss : 4.9209 | Grad Norm : 1.7653
Batch : 81 / 196 | Time 724 ms | Train Loss : 4.9979 | Grad Norm : 5.2301
Batch : 82 / 196 | Time 730 ms | Train Loss : 4.9673 | Grad Norm : 1.6579
Batch : 83 / 196 | Time 733 ms | Train Loss : 5.0350 | Grad Norm : 2.5518
Batch : 84 / 196 | Time 730 ms | Train Loss : 4.9389 | Grad Norm : 1.9760
Batch : 85 / 196 | Time 720 ms | Train Loss : 4.9388 | Grad Norm : 0.6965
Batch : 86 / 196 | Time 751 ms | Train Loss : 4.9619 | Grad Norm : 2.5743
Batch : 87 / 196 | Time 736 ms | Train Loss : 4.9363 | Grad Norm : 1.8459
Batch : 88 / 196 | Time 732 ms | Train Loss : 4.9309 | Grad Norm : 1.6051
Batch : 89 / 196 | Time 739 ms | Train Loss : 4.8769 | Grad Norm : 3.2871
Batch : 90 / 196 | Time 729 ms | Train Loss : 4.8793 | Grad Norm : 2.1139
Batch : 91 / 196 | Time 731 ms | Train Loss : 4.9888 | Grad Norm : 4.3360
Batch : 92 / 196 | Time 738 ms | Train Loss : 4.8685 | Grad Norm : 3.6028
Batch : 93 / 196 | Time 724 ms | Train Loss : 4.9354 | Grad Norm : 9.0696
Batch : 94 / 196 | Time 736 ms | Train Loss : 4.8370 | Grad Norm : 1.8947
Batch : 95 / 196 | Time 746 ms | Train Loss : 4.9881 | Grad Norm : 7.1036
Batch : 96 / 196 | Time 740 ms | Train Loss : 4.8936 | Grad Norm : 3.0356
Batch : 97 / 196 | Time 754 ms | Train Loss : 4.8397 | Grad Norm : 2.1137
Batch : 98 / 196 | Time 725 ms | Train Loss : 4.9023 | Grad Norm : 1.6175
Batch : 99 / 196 | Time 738 ms | Train Loss : 5.0114 | Grad Norm : 2.3448
Batch : 100 / 196 | Time 725 ms | Train Loss : 4.9090 | Grad Norm : 1.7595
Batch : 101 / 196 | Time 736 ms | Train Loss : 4.9316 | Grad Norm : 1.3851
Batch : 102 / 196 | Time 760 ms | Train Loss : 4.9167 | Grad Norm : 2.6481
Batch : 103 / 196 | Time 747 ms | Train Loss : 5.0002 | Grad Norm : 3.2774
Batch : 104 / 196 | Time 751 ms | Train Loss : 4.7856 | Grad Norm : 1.3906
Batch : 105 / 196 | Time 746 ms | Train Loss : 4.8787 | Grad Norm : 2.1564
Batch : 106 / 196 | Time 751 ms | Train Loss : 4.9258 | Grad Norm : 1.5849
Batch : 107 / 196 | Time 728 ms | Train Loss : 4.9531 | Grad Norm : 2.3219
Batch : 108 / 196 | Time 753 ms | Train Loss : 4.8421 | Grad Norm : 1.8269
Batch : 109 / 196 | Time 750 ms | Train Loss : 4.8906 | Grad Norm : 1.5159
Batch : 110 / 196 | Time 754 ms | Train Loss : 4.8556 | Grad Norm : 1.9691
Batch : 111 / 196 | Time 755 ms | Train Loss : 4.9069 | Grad Norm : 1.9467
Batch : 112 / 196 | Time 752 ms | Train Loss : 4.8778 | Grad Norm : 2.8395
Batch : 113 / 196 | Time 745 ms | Train Loss : 4.7780 | Grad Norm : 1.7178
Batch : 114 / 196 | Time 760 ms | Train Loss : 4.9174 | Grad Norm : 3.0165
Batch : 115 / 196 | Time 758 ms | Train Loss : 4.8661 | Grad Norm : 3.0736
Batch : 116 / 196 | Time 741 ms | Train Loss : 4.8465 | Grad Norm : 0.9864
Batch : 117 / 196 | Time 762 ms | Train Loss : 4.8786 | Grad Norm : 4.2522
Batch : 118 / 196 | Time 737 ms | Train Loss : 4.8766 | Grad Norm : 4.1644
Batch : 119 / 196 | Time 734 ms | Train Loss : 4.8815 | Grad Norm : 1.8281
Batch : 120 / 196 | Time 755 ms | Train Loss : 4.8162 | Grad Norm : 4.4027
Batch : 121 / 196 | Time 757 ms | Train Loss : 4.8414 | Grad Norm : 2.5821
Batch : 122 / 196 | Time 746 ms | Train Loss : 4.9366 | Grad Norm : 5.6705
Batch : 123 / 196 | Time 763 ms | Train Loss : 4.9496 | Grad Norm : 2.9433
Batch : 124 / 196 | Time 731 ms | Train Loss : 5.0083 | Grad Norm : 5.8606
Batch : 125 / 196 | Time 726 ms | Train Loss : 4.8179 | Grad Norm : 2.1847
Batch : 126 / 196 | Time 752 ms | Train Loss : 4.8967 | Grad Norm : 6.4310
Batch : 127 / 196 | Time 753 ms | Train Loss : 4.8928 | Grad Norm : 1.8354
Batch : 128 / 196 | Time 758 ms | Train Loss : 4.9638 | Grad Norm : 5.7023
Batch : 129 / 196 | Time 768 ms | Train Loss : 4.9184 | Grad Norm : 4.4742
Batch : 130 / 196 | Time 731 ms | Train Loss : 4.9031 | Grad Norm : 1.9819
Batch : 131 / 196 | Time 763 ms | Train Loss : 4.8883 | Grad Norm : 3.9017
Batch : 132 / 196 | Time 755 ms | Train Loss : 4.8714 | Grad Norm : 3.6987
Batch : 133 / 196 | Time 745 ms | Train Loss : 4.8650 | Grad Norm : 3.0619
Batch : 134 / 196 | Time 747 ms | Train Loss : 4.8600 | Grad Norm : 3.6631
Batch : 135 / 196 | Time 760 ms | Train Loss : 4.9953 | Grad Norm : 3.4363
Batch : 136 / 196 | Time 745 ms | Train Loss : 4.9089 | Grad Norm : 1.8171
Batch : 137 / 196 | Time 761 ms | Train Loss : 4.7352 | Grad Norm : 1.6826
Batch : 138 / 196 | Time 746 ms | Train Loss : 4.8202 | Grad Norm : 1.8504
Batch : 139 / 196 | Time 736 ms | Train Loss : 4.8739 | Grad Norm : 1.7534
Batch : 140 / 196 | Time 741 ms | Train Loss : 4.8934 | Grad Norm : 1.4577
Batch : 141 / 196 | Time 761 ms | Train Loss : 4.8537 | Grad Norm : 2.1203
Batch : 142 / 196 | Time 740 ms | Train Loss : 4.8995 | Grad Norm : 3.7997
Batch : 143 / 196 | Time 757 ms | Train Loss : 4.8982 | Grad Norm : 4.5115
Batch : 144 / 196 | Time 761 ms | Train Loss : 4.8899 | Grad Norm : 2.5828
Batch : 145 / 196 | Time 736 ms | Train Loss : 4.9056 | Grad Norm : 4.9462
Batch : 146 / 196 | Time 732 ms | Train Loss : 4.8350 | Grad Norm : 1.8636
Batch : 147 / 196 | Time 757 ms | Train Loss : 4.8528 | Grad Norm : 3.2909
Batch : 148 / 196 | Time 752 ms | Train Loss : 4.9278 | Grad Norm : 4.7532
Batch : 149 / 196 | Time 754 ms | Train Loss : 4.8837 | Grad Norm : 4.3500
Batch : 150 / 196 | Time 752 ms | Train Loss : 4.9090 | Grad Norm : 3.0881
Batch : 151 / 196 | Time 741 ms | Train Loss : 5.0156 | Grad Norm : 4.7221
Batch : 152 / 196 | Time 752 ms | Train Loss : 4.9585 | Grad Norm : 1.8081
Batch : 153 / 196 | Time 763 ms | Train Loss : 4.9154 | Grad Norm : 5.5869
Batch : 154 / 196 | Time 766 ms | Train Loss : 4.8670 | Grad Norm : 1.7070
Batch : 155 / 196 | Time 722 ms | Train Loss : 4.9667 | Grad Norm : 5.9993
Batch : 156 / 196 | Time 730 ms | Train Loss : 4.8932 | Grad Norm : 1.1167
Batch : 157 / 196 | Time 760 ms | Train Loss : 4.8869 | Grad Norm : 3.4753
Batch : 158 / 196 | Time 749 ms | Train Loss : 4.8854 | Grad Norm : 2.5098
Batch : 159 / 196 | Time 756 ms | Train Loss : 4.8944 | Grad Norm : 1.6904
Batch : 160 / 196 | Time 740 ms | Train Loss : 4.9037 | Grad Norm : 3.7834
Batch : 161 / 196 | Time 758 ms | Train Loss : 4.8461 | Grad Norm : 2.7982
Batch : 162 / 196 | Time 762 ms | Train Loss : 4.9056 | Grad Norm : 4.2796
Batch : 163 / 196 | Time 738 ms | Train Loss : 4.8711 | Grad Norm : 3.6133
Batch : 164 / 196 | Time 756 ms | Train Loss : 4.9125 | Grad Norm : 3.8891
Batch : 165 / 196 | Time 758 ms | Train Loss : 4.8873 | Grad Norm : 1.4109
Batch : 166 / 196 | Time 751 ms | Train Loss : 4.8256 | Grad Norm : 4.7789
Batch : 167 / 196 | Time 755 ms | Train Loss : 4.9163 | Grad Norm : 3.7592
Batch : 168 / 196 | Time 755 ms | Train Loss : 4.8763 | Grad Norm : 4.2036
Batch : 169 / 196 | Time 784 ms | Train Loss : 4.8895 | Grad Norm : 3.5571
Batch : 170 / 196 | Time 757 ms | Train Loss : 4.8626 | Grad Norm : 4.4746
Batch : 171 / 196 | Time 752 ms | Train Loss : 4.9155 | Grad Norm : 3.3043
Batch : 172 / 196 | Time 750 ms | Train Loss : 4.7985 | Grad Norm : 3.5658
Batch : 173 / 196 | Time 763 ms | Train Loss : 4.8910 | Grad Norm : 1.3038
Batch : 174 / 196 | Time 725 ms | Train Loss : 4.8944 | Grad Norm : 5.8192
Batch : 175 / 196 | Time 764 ms | Train Loss : 4.8404 | Grad Norm : 2.6796
Batch : 176 / 196 | Time 764 ms | Train Loss : 4.9411 | Grad Norm : 5.9524
Batch : 177 / 196 | Time 739 ms | Train Loss : 4.9095 | Grad Norm : 4.7259
Batch : 178 / 196 | Time 764 ms | Train Loss : 4.9571 | Grad Norm : 3.2546
Batch : 179 / 196 | Time 753 ms | Train Loss : 5.0049 | Grad Norm : 3.7720
Batch : 180 / 196 | Time 745 ms | Train Loss : 4.8714 | Grad Norm : 4.7917
Batch : 181 / 196 | Time 746 ms | Train Loss : 4.8220 | Grad Norm : 1.8982
Batch : 182 / 196 | Time 753 ms | Train Loss : 4.9443 | Grad Norm : 3.7751
Batch : 183 / 196 | Time 737 ms | Train Loss : 4.8159 | Grad Norm : 3.6220
Batch : 184 / 196 | Time 739 ms | Train Loss : 4.8521 | Grad Norm : 1.6919
Batch : 185 / 196 | Time 754 ms | Train Loss : 4.8751 | Grad Norm : 5.1790
Batch : 186 / 196 | Time 762 ms | Train Loss : 4.8303 | Grad Norm : 3.0767
Batch : 187 / 196 | Time 754 ms | Train Loss : 4.8183 | Grad Norm : 5.3681
Batch : 188 / 196 | Time 787 ms | Train Loss : 4.9291 | Grad Norm : 7.7410
Batch : 189 / 196 | Time 730 ms | Train Loss : 4.7919 | Grad Norm : 2.6303
Batch : 190 / 196 | Time 733 ms | Train Loss : 4.9086 | Grad Norm : 3.8435
Batch : 191 / 196 | Time 775 ms | Train Loss : 4.8726 | Grad Norm : 1.8996
Batch : 192 / 196 | Time 764 ms | Train Loss : 5.0043 | Grad Norm : 4.6180
Batch : 193 / 196 | Time 748 ms | Train Loss : 4.7959 | Grad Norm : 1.0603
Batch : 194 / 196 | Time 760 ms | Train Loss : 4.9398 | Grad Norm : 3.6921
Batch : 195 / 196 | Time 275 ms | Train Loss : 3.7583 | Grad Norm : 2.6118
Epoch : 2 | Training Loss : 3.7583
 
